Number City Gender Age Income Illness
1 Dallas Male 41 40367.0 No
2 Dallas Male 54 45084.0 No
3 Dallas Male 42 52483.0 No
4 Dallas Male 40 40941.0 No
5 Dallas Male 46 50289.0 No
6 Dallas Female 36 50786.0 No
7 Dallas Female 32 33155.0 No
8 Dallas Male 39 30914.0 No
9 Dallas Male 51 68667.0 No
10 Dallas Female 30 50082.0 No
11 Dallas Female 48 41524.0 Yes
12 Dallas Male 47 54777.0 No
13 Dallas Male 46 62749.0 No
14 Dallas Female 42 50894.0 No
15 Dallas Female 61 38429.0 No
16 Dallas Male 43 34074.0 No
17 Dallas Male 27 50398.0 No
18 Dallas Male 38 46373.0 Yes
19 Dallas Male 47 51137.0 No
20 Dallas Female 35 23688.0 No
21 Dallas Male 57 17378.0 No
22 Dallas Male 33 45919.0 No
23 Dallas Female 33 23001.0 No
24 Dallas Female 27 34292.0 Yes
